name,region,year,income,population,lifeExpectancy
Angola,Sub-Saharan Africa,1800,359.93,1567028.0,26.98
Benin,Sub-Saharan Africa,1800,553.72,636559.0,31.0
Botswana,Sub-Saharan Africa,1800,407.36,121000.0,33.6
Burkina Faso,Sub-Saharan Africa,1800,454.33,1665421.0,29.2
Burundi,Sub-Saharan Africa,1800,447.59,899097.0,31.5
Cameroon,Sub-Saharan Africa,1800,517.46,1860054.0,28.75
Cape Verde,Sub-Saharan Africa,1800,340.0,55716.0,33.8
Chad,Sub-Saharan Africa,1800,400.69,1432000.0,30.9
Comoros,Sub-Saharan Africa,1800,800.61,56346.0,32.1
"Congo, Dem. Rep.",Sub-Saharan Africa,1800,394.03,5163819.0,31.6
"Congo, Rep.",Sub-Saharan Africa,1800,387.38,314465.0,32.7
Cote d'Ivoire,Sub-Saharan Africa,1800,549.19,1088530.0,31.9
Equatorial Guinea,Sub-Saharan Africa,1800,379.13,80377.0,29.8
Eritrea,Sub-Saharan Africa,1800,583.95,205010.0,30.2
Ethiopia,Sub-Saharan Africa,1800,619.21,2948990.0,29.7
Gabon,Sub-Saharan Africa,1800,377.54,158227.0,30.6
Ghana,Sub-Saharan Africa,1800,505.14,2016034.0,28.0
Guinea,Sub-Saharan Africa,1800,375.96,983959.0,29.5
Guinea-Bissau,Sub-Saharan Africa,1800,345.0,218167.0,29.3
Kenya,Sub-Saharan Africa,1800,512.93,2574000.0,25.5
Lesotho,Sub-Saharan Africa,1800,364.0,276361.0,32.8
Liberia,Sub-Saharan Africa,1800,544.65,313543.0,31.1
Madagascar,Sub-Saharan Africa,1800,434.14,1276867.225,30.5
Malawi,Sub-Saharan Africa,1800,360.0,737000.0,30.3
Mali,Sub-Saharan Africa,1800,427.43,1403398.0,29.6
Mauritania,Sub-Saharan Africa,1800,374.38,382696.0,32.0
Mauritius,Sub-Saharan Africa,1800,799.61,1276867.225,31.2
Mayotte,Sub-Saharan Africa,1800,473.27577777777776,8219.0,30.50720930232558
Mozambique,Sub-Saharan Africa,1800,358.0,1276867.225,30.28
Namibia,Sub-Saharan Africa,1800,350.0,229000.0,32.4
Niger,Sub-Saharan Africa,1800,371.26,1244861.0,30.8
Nigeria,Sub-Saharan Africa,1800,576.38,12100855.0,30.4
Reunion,Sub-Saharan Africa,1800,692.33,92744.0,30.50720930232558
Rwanda,Sub-Saharan Africa,1800,369.0,928368.0,31.8
Sao Tome and Principe,Sub-Saharan Africa,1800,674.7,22731.0,30.50720930232558
Senegal,Sub-Saharan Africa,1800,420.73,1009886.0,25.2
Sierra Leone,Sub-Saharan Africa,1800,508.4,794264.0,25.1
Somalia,Sub-Saharan Africa,1800,498.83,1276867.225,29.4
South Africa,Sub-Saharan Africa,1800,759.05,1276867.225,33.5
Sudan,Sub-Saharan Africa,1800,484.74,1276867.225,31.4
Swaziland,Sub-Saharan Africa,1800,414.04,86000.0,32.3
Tanzania,Sub-Saharan Africa,1800,470.64,3019768.0,32.2
Togo,Sub-Saharan Africa,1800,535.59,445985.0,31.3
Uganda,Sub-Saharan Africa,1800,461.08,2101397.0,25.3
Zambia,Sub-Saharan Africa,1800,364.46,747000.0,32.6
Zimbabwe,Sub-Saharan Africa,1800,372.82,1085814.0,33.7
Afghanistan,South Asia,1800,472.05,3280000.0,28.21
Bangladesh,South Asia,1800,609.0,1761733.0,25.5
Bhutan,South Asia,1800,539.56,392287.0,28.401666666666667
India,South Asia,1800,563.0,1761733.0,25.4
Maldives,South Asia,1800,472.12,42378.0,28.401666666666667
Nepal,South Asia,1800,419.18,3881000.0,32.8
Pakistan,South Asia,1800,666.0,1761733.0,25.9
Sri Lanka,South Asia,1800,453.6,1213000.0,32.6
Algeria,Middle East & North Africa,1800,766.25,512478.75,28.8
Bahrain,Middle East & North Africa,1800,808.99,64474.0,30.3
Djibouti,Middle East & North Africa,1800,380.73,22848.0,29.9
Iraq,Middle East & North Africa,1800,700.0,512478.75,31.2
Israel,Middle East & North Africa,1800,882.54,209954.0,30.759999999999998
Jordan,Middle East & North Africa,1800,528.69,217000.0,31.7
Kuwait,Middle East & North Africa,1800,661.9,81280.0,26.0
Lebanon,Middle East & North Africa,1800,932.0,332000.0,29.7
Libya,Middle East & North Africa,1800,570.0,512478.75,33.0
Morocco,Middle East & North Africa,1800,497.25,512478.75,33.1
Oman,Middle East & North Africa,1800,882.54,318000.0,32.3
Qatar,Middle East & North Africa,1800,588.36,14092.0,30.8
Saudi Arabia,Middle East & North Africa,1800,441.27,2091000.0,32.1
Tunisia,Middle East & North Africa,1800,518.72,512478.75,28.8
United Arab Emirates,Middle East & North Africa,1800,845.76,40153.0,30.7
West Bank and Gaza,Middle East & North Africa,1800,735.45,165944.0,30.759999999999998
"Yemen, Rep.",Middle East & North Africa,1800,661.9,2593000.0,33.0
Argentina,America,1800,871.63,534000.0,33.2
Aruba,America,1800,575.86,19286.0,32.29875
Barbados,America,1800,1017.81,81729.0,32.29875
Belize,America,1800,542.97,25526.0,32.29875
Bolivia,America,1800,695.05,1100000.0,33.0
Brazil,America,1800,509.2,282549.75,32.0
Canada,America,1800,1159.5,282549.75,39.0
Chile,America,1800,702.1,771447.0,32.0
Colombia,America,1800,522.98,1206000.0,32.0
Costa Rica,America,1800,670.12,282549.75,30.21
Cuba,America,1800,1123.88,282549.75,32.2
Ecuador,America,1800,1085.13,500000.0,32.9
El Salvador,America,1800,804.31,248000.0,28.7
French Guiana,America,1800,819.27,9899.0,32.29875
Grenada,America,1800,775.67,29409.0,32.29875
Guadeloupe,America,1800,760.98,80726.0,32.29875
Guatemala,America,1800,682.75,282549.75,25.8
Guyana,America,1800,910.69,166034.0,31.12
Haiti,America,1800,503.81,723000.0,32.29875
Honduras,America,1800,583.8,282549.75,33.9
Jamaica,America,1800,1350.4,401000.0,34.2
Martinique,America,1800,944.05,84039.0,32.29875
Mexico,America,1800,1053.6,282549.75,26.9
Netherlands Antilles,America,1800,698.1,42536.0,32.29875
Nicaragua,America,1800,726.97,186000.0,25.4
Panama,America,1800,686.66,78842.0,32.9
Paraguay,America,1800,564.16,143000.0,35.5
Peru,America,1800,697.3,282549.75,35.7
Puerto Rico,America,1800,775.1,155000.0,30.43
Suriname,America,1800,1004.13,80721.0,32.9
Trinidad and Tobago,America,1800,774.21,60000.0,32.9
United States,America,1800,1912.62,282549.75,39.41
Uruguay,America,1800,784.46,55000.0,32.9
Albania,Europe & Central Asia,1800,601.22,1292034.5833333333,35.4
Armenia,Europe & Central Asia,1800,502.64,413326.0,35.22486486486486
Austria,Europe & Central Asia,1800,1434.51,1292034.5833333333,34.4
Azerbaijan,Europe & Central Asia,1800,639.95,879960.0,35.22486486486486
Belarus,Europe & Central Asia,1800,717.05,2355081.0,36.2
Belgium,Europe & Central Asia,1800,1554.0,1292034.5833333333,40.0
Bosnia and Herzegovina,Europe & Central Asia,1800,490.82,851806.0,35.1
Bulgaria,Europe & Central Asia,1800,836.31,1292034.5833333333,35.8
Croatia,Europe & Central Asia,1800,1227.06,1227886.0,36.1
